A B crs
02 01 3.131172542193802
03 01 3.9907658437709954
03 02 0
04 01 4.571943417015882
04 02 0.15054354337461745
04 03 0.9090423740232774
05 01 2.2474644963599713
05 02 1.9194949415804334
05 03 3.6954051924696794
05 04 3.241577180329059
06 01 3.6205135323784514
06 02 1.779446641738666
06 03 3.627719534454667
06 04 2.536519614474598
06 05 0.6983654004274357
07 01 5.011848965626125
07 02 2.0835854095453223
07 03 0.9519522500724023
07 04 3.1869054654542364
07 05 5.566998029968309
07 06 5.80793333549399
08 01 3.7891690611897135
08 02 3.35338447827006
08 03 2.7940521962180624
08 04 4.898400427503291
08 05 5.597388251603334
08 06 6.41466189194886
08 07 1.580453202937248
09 01 0
09 02 2.3542694020685757
09 03 3.7295698411067213
09 04 3.8495624547950595
09 05 0.8329756289211365
09 06 2.2065564421094512
09 07 5.073510812201015
09 08 4.010879660277868
10 01 3.321535902814223
10 02 2.118535200543066
10 03 3.9752784381575643
10 04 2.983477752556296
10 05 0
10 06 0
10 07 6.12393136774341
10 08 6.691419920321333
10 09 1.884051643103999
11 01 6.015252408902942
11 02 2.7781983172501907
11 03 4.2190485494967875
11 04 1.9501129826474537
11 05 3.0390192675506706
11 06 1.0348331398424349
11 07 6.5631216106493016
11 08 7.913064447464988
11 09 4.662899585430779
11 10 2.0421961540383076
12 01 2.734358722390233
12 02 0.6657070375520926
12 03 0.8349522910287633
12 04 2.3029352526023525
12 05 3.3828818945568724
12 06 3.8583811451308305
12 07 0.992811177463412
12 08 1.283653894627222
12 09 2.8739167503803964
12 10 4.143246617956945
12 11 5.179722201882683
13 01 3.0197167780135907
13 02 0
13 03 1.5719808665488784
13 04 0.7947286177282886
13 05 0.571685281275447
13 06 0
13 07 3.8029598794616843
13 08 4.679234306323075
13 09 1.8996368310462977
13 10 0.011045819253455654
13 11 1.5574228084364383
13 12 1.9910607423219278
14 01 4.3793381862053
14 02 1.4477345675472928
14 03 3.050703817292926
14 04 1.0132829337039564
14 05 1.3614521941469293
14 06 0
14 07 5.383197457850446
14 08 6.461186445561213
14 09 2.986846647356456
14 10 0.4932106538466996
14 11 0.471378108724689
14 12 3.7404903354990413
14 13 0
15 01 4.464885441775342
15 02 6.310371042105268
15 03 8.102788284325422
15 04 7.554601629749789
15 05 3.3203691682266525
15 06 3.538036730785461
15 07 9.897554655168571
15 08 9.277479862670127
15 09 3.531704140879861
15 10 2.794784979858205
15 11 6.174286575998711
15 12 7.670202023774909
15 13 4.543571308405535
15 14 4.996371211312825
16 01 1.8494302998128225
16 02 0
16 03 0.8422423253202703
16 04 1.3125930060753792
16 05 1.1450640057430712
16 06 1.6062772420002822
16 07 2.504996922877627
16 08 2.965448646581729
16 09 1.3308737418655425
16 10 1.8872652058600845
16 11 3.2485093864297414
16 12 0.29707950243398296
16 13 0
16 14 1.685660818716385
16 15 5.552408596495877
17 01 3.973017737920207
17 02 4.228824560684856
17 03 3.697312497798523
17 04 5.815324504952223
17 05 6.145556166326719
17 06 7.0760372870470265
17 07 1.7326631761111793
17 08 0
17 09 4.244661604286826
17 10 7.345478478511115
17 11 8.7494699078685
17 12 2.1762479083113546
17 13 5.440354318262573
17 14 7.241118936435081
17 15 9.474200832845865
17 16 3.7814722456414005
18 01 4.388360298500247
18 02 0
18 03 1.1910945383093523
18 04 0
18 05 2.808338367235349
18 06 1.5418630417477515
18 07 3.525186749266615
18 08 5.038384301469844
18 09 3.566067667836647
18 10 2.161532095343153
18 11 0.797771946468373
18 12 2.3967276730040323
18 13 0.47152488986027924
18 14 0
18 15 6.673830870469494
18 16 1.1622816958267708
18 17 5.943400676960081
19 01 1.1827704218781294
19 02 0.8545706809347704
19 03 1.8296238368594269
19 04 2.3472025357514332
19 05 0.6561239519589489
19 06 1.6891847542577156
19 07 3.1493686961914698
19 08 3.0115915345242366
19 09 0.31915060956912056
19 10 1.9052386709934117
19 11 3.7727617018141806
19 12 0.9398242421883903
19 13 0.6666840238814523
19 14 2.160363225063838
19 15 4.719526001637179
19 16 0
19 17 3.6570618688563927
19 18 2.1018665295148233
20 01 0
20 02 3.53876365017241
20 03 4.314242153652467
